Location,Code
"Koszalin, Poland ",OSZ
"Kota Bharu, Malaysia ",KBR
"Kota Kinabalu, Malaysia ",BKI
"Kotlik, AK ",KOT
"Kotzebue, AK ",OTZ
"Kowanyama, QL, Australia ",KWM
"Koyukuk, AK ",KYU
"Kozhikode, India ",CCJ
"Krabi, Thailand ",KBV
"Krakow, Poland ",KRK
"Krivoy Rog, Ukraine ",KWG
"Kuala Lumpur, Malaysia ",KUL
"Kuala Terengganu, Malaysia ",TGG
"Kuantan, Malaysia ",KUA
"Kubin Island, QL, Australia ",KUG
"Kuching, Malaysia ",KCH
"Kudat, Malaysia ",KUD
"Kufrah, Libya ",AKF
"Kugaaruk, NU ",YBB
"Kugluktuk/Coppermine, NU ",YCO
"Kulusuk, Greenland ",KUS
"Kumejima, Japan ",UEO
"Kundiawa, Papau New Guinea ",CMU
"Kuopio, Finland ",KUO
"Kuri, Papua New Guinea ",KUQ
"Kushiro, Japan ",KUH
"Kutaisi, Georgia ",KUT
"Kuujjuaq, QC ",YVP
"Kuujjuarapik, QC ",YGW
"Kuusamo, Finland ",KAO
"Kuwait, Kuwait ",KWI
"Kwajalein, Marshall Islands ",KWA
"Kwethluk, AK ",KWT
"Kwigillingok, AK ",KWK
"Kyzyl, Russia ",KYZ
"La Ceiba, Honduras ",LCE
"La Coruna, Spain ",LCG
"La Crosse, WI ",LSE
"La Grande, QC ",YGL
"La Palma, Panama ",PLP
"La Paz, Bolivia ",LPB
"La Paz, Mexico ",LAP
"La Rioja, Argentina ",IRJ
"La Romana, Dominican Republic ",LRM
"La Ronge, SK ",YVC
"La Serena, Chile ",LSC
"La Tabatiere, QC ",ZLT
"La Tuque, QC ",YLQ
"Laayoune, Morocco ",EUN
"Labasa, Fiji ",LBS
"Lablab, Papua New Guinea ",LAB
"Labuan Bajo, Indonesia ",LBJ
"Labuan, Malaysia ",LBU
"Lac Brochet, MB ",XLB
"Lac Edouard, QC - Rail service ",XEE
"Ladysmith, BC - Rail service ",XEH
"Lae Island, Marshall Islands ",LML
"Lae, Papua New Guinea ",LAE
"Lafayette, IN ",LAF
"Lafayette, LA ",LFT
"Lages, SC, Brazil ",LAJ
"Lago Agrio, Ecuador ",LGQ
"Lago Argentina, Argentina ",ING
"Lagos, Nigeria ",LOS
"Lahadbatu, Malaysia ",LDU
"Lahore, Pakistan ",LHE
"Lake Charles, LA ",LCH
"Lake Havasu City, AZ ",HII
"Lake Minchumina, AK ",LMA
"Lakeba, Fiji ",LKB
"Lakselv, Norway ",LKL
"Lalibela, Ethiopia ",LLI
"Lamap, Vanuatu ",LPM
"Lamen Bay, Vanuatu ",LNB
"Lamezia-Terme, Italy ",SUF
"Lampang, Thailand ",LPI
"Lampedusa, Italy ",LMP
"Lamu, Kenya ",LAU
"Lanai City, HI - Island of Lanai ",LNY
"Lancaster, PA ",LNS
"Lands End, United Kingdom ",LEQ
"Langford, BC - Rail service ",XEJ
"Langguri, Indonesia ",LUV
"Langkawi, Malaysia ",LGK
"Lannion, France ",LAI
"Lansdowne House, ON ",YLH
"Lansing, MI ",LAN
"Lanzarote, Spain ",ACE
"Lanzhau, Guinea ",LHW
"Lanzhou, China ",ZGC
"Laoag, Philippines ",LAO
"Lappeenranta, Finland ",LPP
"Laramie, WY ",LAR
"Larantuka, Indonesia ",LKA
"Laredo, TX ",LRD
"Larnaca, Cyprus ",LCA
"Larochelle, France ",LRH
"Las Palmas, Spain ",LPA
"Las Piedras, Venezuela ",LSP
"Las Vegas, NV ",LAS
"Latakia, Syria ",LTK
"Latrobe, PA ",LBE
"Laucala Island, Fiji ",LUC
"Launceston, TS, Australia ",LST
"Laurel, MS ",PIB
"Laverton, WA, Australia ",LVO
"Lawas, Malaysia ",LWY
"Lawton, OK ",LAW
"Le Havre, France ",LEH
"Le Mans, France ",ZLN
"Le Puy, France ",LPY
"Le Touquet, France ",LTQ
"Leaf Rapids, MB ",YLR
"Learmonth, WA, Australia ",LEA
"Lebanon, NH ",LEB
"Leeds, United Kingdom ",LBA
"Legaspi, Philippines ",LGP
"Leh, India ",IXL
"Leinster, WA, Australia ",LER
"Leipzig, Germany ",LEJ
"Leknes, Norway ",LKN
"Lemnos, Greece ",LXS
"Leon, Mexico ",BJX
"Leonora, WA, Australia ",LNO
"Lethbridge, AB ",YQL
"Leticia, Colombia ",LET
"Levelock, AK ",KLL
"Lewisburg, WV ",LWB
"Lewiston, ID ",LWS
"Lewistown, MT ",LWT
"Lexington, KY ",LEX
"Lhasa, China ",LXA
"Lianyungang, China ",LYG
"Liberal, KS ",LBL
"Liberia, Costa Rica ",LIR
"Libreville, Gabon ",LBV
"Lichinga, Mozambique ",VXC
"Liege, Belgium ",LGG
"Lifa, New Caledonia ",LIF
"Lightning Ridge, NS, Australia ",LHG
"Lihir Island, Papua New Guinea ",LNV
"Lihue, HI - Island of Kaui ",LIH
"Lijiang City, China ",LJG
"Likiep Island, Marshall Islands ",LIK
"Lille, France - Lesquin ",LIL
"Lille, France - Rail service ",XDB
"Lilongwe, Malawi ",LLW
"Lima, Peru ",LIM
"Limbang, Malaysia ",LMN
"Limoges, France ",LIG
"Lincoln, NE ",LNK
"Lindeman Island, QL, Australia ",LDC
"Lindi, Tanzania ",LDI
"Linkoping, Sweden ",LPI
"Linyi, China ",LYI
"Linz, Austria ",LNZ
"Lisbon, Portugal ",LIS
"Lismore, NS, Australia ",LSY
"Little Rock, AR ",LIT
"Liuzhou, China ",LZH
"Liverpool, United Kingdom ",LPL
"Livingstone, Zambia ",LVI
"Lizard Island, QL, Australia ",LZR
"Ljubliana, Slovenia ",LJU
"Lloydminister, AB ",YLL
"Lockhart River, Australia ",IRG
"Loen, Marshall Islands ",LOF
"Loja, Ecuador ",LOH
"Lome, Togo ",LFW
"London, ON - Municipal Airport ",YXU
"London, ON - Rail service ",XDQ
"London, United Kingdom - All airports ",LON
"London, United Kingdom - Biggin Hill ",BQH
"London, United Kingdom - Gatwick ",LGW
"London, United Kingdom - Heathrow ",LHR
"London, United Kingdom - London City ",LCY
"London, United Kingdom - Luton ",LTN
"London, United Kingdom - Stansted ",STN
"Londonderry, United Kingdom ",LDY
"London-Paddington, United Kingdom - Rail service ",QQP
"Londrina, PR, Brazil ",LDB
"Long Apung, Indonesia ",LPU
"Long Banga, Malaysia ",LBP
"Long Bawan, Indonesia ",LBW
"Long Beach, CA ",LGB
"Long Island, Australia ",HAP
"Long Island/Deadmans Cay, Bahamas ",LGI
"Long Lellang, Malaysia ",LGL
"Long Seridan, Malaysia ",ODN
"Longana, Vanuatu ",LOD
"Longreach, QL, Australia ",LRE
"Longview, TX ",GGG
"Longyearbyen, Svalbard & Jan Mayen Island ",LYR
"Lonorore, Vanuatu ",LNE
"Lopez Island, WA ",LPS
"Lord Howe Island, NS, Australia ",LDH
"Loreto, Mexico ",LTO
"Lorient, France ",LRT
"Los Angeles, CA ",LAX
"Los Cabos, Mexico ",SJD
"Los Mochis, Mexico ",LMM
"Losuia, Papua New Guinea ",LSA
"Louisville, KY ",SDF
"Lourdes/Tarbes, France ",LDE
"Loveland/Fort Collins, CO - Bus service ",QWF
"Loveland/Fort Collins, CO - Municipal Airport ",FNL
"Lozaro Cardenas, Mexico ",LZC
"Luanda, Angola ",LAD
"Luanda, Angola ",LAD
"Luang Namtha, Laos ",LXG
"Luang Prabang, Laos ",LPQ
"Lubbock, TX ",LBB
"Lucknow, India ",LKO
"Luderitz, Namibia ",LUD
"Lugano, Switzerland ",LUG
"Lugansk, Uganda ",VSG
"Lukla, Nepal ",LUA
"Lulea, Sweden ",LLA
"Lumbashi, Congo ",FBM
"Luoyang, China ",LYA
"Lusaka, Zambia ",LUN
"Lutselke/Snowdrift, NT ",YSG
"Luwuk, Indonesia ",LUW
"Luxembourg, Luxembourg ",LUX
"Luxi, China ",LUM
"Luxor, Egypt ",LXR
"Luzhou, China ",LZO
"Lvov, Ukraine ",LWO
"Lyoksele, Sweden ",LYC
"Lyon, France - Lyon Part-Dieu Rail service ",XYD
"Lyon, France - Satolas ",LYS
"Maastricht, Netherlands ",MST
"Mabuiag Island, QL, Australia ",UBB
"Macapa, AP, Brazil ",MCP
"Macas, Ecuador ",XMS
"Macau, China ",MFM
"Maceio, AL, Brazil ",MCZ
"Machala, Ecuador ",MCH
"Mackay, QL, Australia ",MKY
"Macon, GA ",MCN
"Madang, Papua New Guinea ",MAG
"Madinah, Saudi Arabia ",MED
"Madison, WI ",MSN
"Madras, OR ",MDJ
"Madrid, Spain ",MAD
"Madurai, India ",IXM
"Mae Hong Son, Thailand ",HGN
"Mae Sot, Thailand ",MAQ
"Maewo, Vanuatu ",MWF
"Mafia, Tanzania ",MFA
"Magadan, Russia ",GDX
"Magnitogorsk, Russia ",MQF
"Mahanoro, Madagascar ",VVB
"Mahe Island, Seychelles ",SEZ
"Maintirano, Madagascar ",MXT
"Maio, Cape Verde ",MMO
"Majkin, Marshall Islands ",MJE
"Majunga, Madagascar ",MJN
"Majuro, Marshall Islands ",MAJ
"Makale, Ethiopia ",MQX
"Makhachkala, Russia ",MCX
"Makokou, Gabon ",MKU
"Makung, Taiwan ",MZG
"Malabo, Equatorial Guinea ",SSG
"Malacca, Malaysia ",MKZ
"Malaga, Spain ",AGP
"Malakai, Sudan ",MAK
"Malargue, MD, Argentina ",LGS
"Malatya, Turkey ",MLX
"Male, Maldives ",MLE
"Malindi, Kenya ",MYD
"Malmo, Sweden ",MMX
"Maloelap Island, Marshall Islands ",MAV
"Malololailai, Fiji ",PTF
"Malta, Malta ",MLA
"Mampikony, Madagascar ",WMP
"Mana Island, Fiji ",MNF
"Manado, Indonesia ",MDC
"Managua, Nicaragua ",MGA
"Manakara, Madagascar ",WVK
"Mananara, Madagascar ",WMR
"Manang, Nepal ",NGX
"Mananjary, Madagascar ",MNJ
"Manaus, AM, Brazil ",MAO
"Manchester, NH ",MHT
"Manchester, United Kingdom ",MAN
"Mandalay, Myanmar ",MDL
"Mandritsara, Madagascar ",WMA
"Mangaia Island, Cook Islands ",MGS
"Mangalore, India ",IXE
"Mangrove Cay, Bahamas ",MAY
"Mangu, Zambia ",MNR
"Manguna, Papua New Guinea ",MFO
"Manhattan, KS ",MHK
"Manihi, French Polynesia ",XMH
"Manihiki Island, Cook Islands ",MHX
"Manila, Philippines ",MNL
"Maningrioa, NT, Australia ",MNG
"Manistee, MI ",MBL
"Manizales, Colombia ",MZL
"Manja, Madagascar ",MJA
"Mankato, MN ",MKT
"Manley Hot Springs, AK ",MLY
"Mannheim, Germany ",MHG
"Manokotak, AK ",KMO
"Manokwari, Indonesia ",MKW
"Manston, United Kingdom ",MSE
"Manta, Ecuador ",MEC
"Manus Island, Papua New Guinea ",MAS
"Manzanillo, Cuba ",MZO
"Manzanillo, Mexico ",ZLO
"Manzini, Swaziland ",MTS
"Mao, Chad ",AMO
"Maota Savaii Is, Western Samoa ",MXS
"Maputo, Mozambique ",MPM
"Mar Del Plata, BA, Argentina ",MDQ
"Mara Lodges, Kenya ",MRE
"Maraba, PA, Brazil ",MAB
"Maracaibo, Venezuela ",MAR
"Maracay, Venezuela ",MYC
"Mare, New Caledonia ",MEE
"Margate, South Africa ",MGH
"Maribor, Slovenia ",MBX
"Mariehamn, Finland ",MHQ
"Marietta, OH/Parkersburg, WV ",PKB
"Mariitsoq, Greenland ",JSU
"Marilia, SP, Brazil ",MII
"Maringa, PR, Brazil ",MGF
"Marion, IL ",MWA
"Mariupol, Ukraine ",MPW
"Maroantsetra, Madagascar ",WMN
"Marova, Cameroon ",MVR
"Marquette, MI ",MQT
"Marseille, France ",MRS
"Marsh Harbour, Bahamas ",MHH
"Marshall, AK ",MLL
"Martha's Vineyard, MA ",MVY
"Martinsburg, PA ",AOO
"Marudi, Malaysia ",MUR
"Maryborough, QL, Australia ",MBH
"Mary's Harbour, NL ",YMH
"Masbate, Philippines ",MBT
"Maseru, Lesotho ",MSU
"Mashad, Iran ",MHD
"Mason City, IA ",MCW
"Massena, NY ",MSS
"Matamoros, Mexico ",MAM
"Mataram, Indonesia ",AMI
"Matsumoto, Japan ",MMJ
"Matsuyama, Japan ",MYJ
"Maturin, Venezuela ",MUN
"Maui, HI ",OGG
"Mauke Island, Cook Islands ",MUK
"Maulmyine, Myanmar ",MNU
"Maumere, Indonesia ",MOF
"Maun, Botswana ",MUB
"Maupiti, French Polynesia ",MAU
"Mauritius, Mauritius ",MRU
"Maxville, ON - Rail service ",XID
"Mayaguana, Bahamas ",MYG
"Mayaguez, Puerto Rico ",MAZ
"Mazatlan, Mexico ",MZT
"Mbandaka, Congo ",MDK
"Mbuji Mayi, Congo ",MJM
"Mcallen, TX ",MFE
"Mcarthur River, NT, Australia ",MCV
"Mccook, NE ",MCK
"Mcgrath, AK ",MCG
"Medan, Indonesia ",MES
"Medellin, Colombia - Enrique Olaya Herrera ",EOH
"Medellin, Colombia - Jose Marie Cordova ",MDE
"Medford, OR ",MFR
"Medicine Hat, AB ",YXH
"Meekatharra, WA, Australia ",MKR
"Mehamn, Norway ",MEH
"Meixian, China ",MXZ
"Mejit Island, Marshall Islands ",MJB
"Mekane Selam, Ethiopia ",MKS
"Mekoryuk, AK ",MYU
"Melbourne, FL ",MLB
"Melbourne, Victoria, Australia ",MEL
"Melilla, Spain ",MLN
"Melville, SK - Rail service ",XEK
"Memanbetsu, Japan ",MMB
"Memphis, TN ",MEM
"Mendi, Ethiopia ",NDM
"Mendi, Papua New Guinea ",MDU
"Mendoza, MD, Argentina ",MDZ
"Menorca, Spain ",MAH
"Menyamya, Papua New Guinea ",MYX
"Merauke, Indonesia ",MKQ
"Merave, Sudan ",MWE
"Merced, CA ",MCE
"Merdey, Indonesia ",RDE
"Merida, Mexico ",MID
"Merida, Venezuela ",MRD
"Meridian, MS ",MEI
"Merimbula, NS, Australia ",MIM
"Mersa Matruh, Egypt ",MUH
"Metlakatla, AK ",MTM
"Metz/Nancy, France ",ETZ
"Mexicali, Mexico ",MXL
"Mexico City, Mexico ",MEX
"Meyers Chuck, AK ",WMK
"Mfume, Zambia ",MFU
"Miami, FL - International ",MIA
"Miami, FL - Sea Plane Base ",MPB
"Miandrivazo, Madagascar ",ZVA
"Middle Caicos, Turks and Caicos ",MDS
"Midland, MI ",MBS
"Midland/Odessa, TX ",MAF
"Midway Island, US Minor Outlying Islands ",MDY
"Mikkeli, Finland ",MIK
"Mikonos, Greece ",JMK
"Milan, Italy - Linate ",LIN
"Milan, Italy - Malpensa ",MXP
"Milan, Italy - Orio Al Serio ",BGY
"Milan, Italy - Parma ",PMF
"Mildura, VI, Australia ",MQL
"Miles City, MT ",MLS
"Mili Island, Marshall Islands ",MIJ
"Milingimbi, NT, Australia ",MGT
"Milwaukee, WI ",MKE
"Minami Daito, Japan ",MMD
"Minatitla, Mexico ",MTT
"Mindiptana, Indonesia ",MDP
"Mineralnye Vody, Russia ",MRV
"Minneapolis, MN ",MSP
"Minot, ND ",MOT
"Minsk, Belarus - Minsk International 1 ",MHP
"Minsk, Belarus - Minsk International 2 ",MSQ
"Minto, AK ",MNT
"Miramichi, NB - Rail service ",XEY
"Miri, Malaysia ",MYY
"Mirnyj, Russia ",MJZ
"Misawa, Japan ",MSJ
"Misima Island, Papua New Guinea ",MIS
"Mission, TX ",MFE
"Missoula, MT ",MSO
"Misurata, Libya ",MRA
"Mitiaro Island, Cook Islands ",MOI
"MiyakeJima, Japan ",MYE
"Miyako Jima, Japan ",MMY
"Mizan Teferi, Ethiopia ",MTF
"Mo I Rana, Norway ",MQN
"Moa, Cuba ",MOA
"Moab, UT ",CNY
"Moala, Fiji ",MFJ
"Moanamani, Indonesia ",ONI
"Moanda, Congo ",MNB
"Moanda, Gabon ",MFF
"Mobile, AL ",MOB
"Modesto, CA ",MOD
"Mogadishu, Somalia ",MGQ
"Mohenjodaro, Denmark ",MJD
"Mokpo, South Korea ",MPK
"Mokuti Lodge, Namibia ",OKU
"Molde, Norway ",MOL
"Moline, IL ",MLI
"Mombasa, Kenya ",MBA
"Monastir, Tunisia ",MIR
"Monbetsu, Japan ",MBE
"Monclova, Mexico ",LOV
"Moncton, NB - Airport ",YQM
"Moncton, NB - Rail service ",XDP
"Monkey Mia, WA, Australia ",MJK
"Mono, Solomon Islands ",MNY
"Monroe, LA ",MLU
"Monrovia, Liberia ",ROB
"Mont Joli, QC ",YYY
"Monte Carlo, Monaco ",MCM
"Monte Dourado, PA, Brazil ",MEU
"Montego Bay, Jamaica ",MBJ
"Monterey, CA ",MRY
"Monteria, Colombia ",MTR
"Monterrey, Mexico ",MTY
"Montes Claros, MG, Brazil ",MOC
"Montevideo, Uruguay ",MVD
"Montgomery, AL ",MGM
"Montpellier, France ",MPL
"Montreal, QC - all airports ",YMQ
"Montreal, QC - Dorval ",YUL
"Montreal, QC - Dorval Rail service ",XAX
"Montreal, QC - Downtown Rail service ",YMY
"Montreal, QC - Mirabel ",YMX
"Montreal, QC - St Lambert Rail service ",XLM
"Montrose, CO ",MTJ
"Montserrat, Montserrat ",MNI
"Moorea, French Polynesia ",MOZ
"Moosonee, ON ",YMO
"Mopti, Mali ",MZI
"Mora, Sweden ",MXX
"Morafenobe, Madagascar ",TVA
"Morambe, Madagascar ",MXM
"Moranbah, QL, Australia ",MOV
"Moree, NS, Australia ",MRZ
"Morelia, Mexico ",MLM
"Morgantown, WV ",MGW
"Morioka, Japan ",HNA
"Mornington, QL, Australia ",ONG
"Moro, Papua New Guinea ",MXH
"Morondava, Madagascar ",MOQ
"Moroni, Comoros ",HAH
"Moruya, NS, Australia ",MYA
"Moscow, Russia - all locations ",MOW
"Moscow, Russia - Bykovo ",BKA
"Moscow, Russia - Domodedovo ",DME
"Moscow, Russia - Sheremetyevo ",SVO
"Moscow, Russia - Vnukovo ",VKO
"Moses Lake, WA ",MWH
"Mosjoen, Norway ",MJF
"Mostar, Bosnia and Herzegovina ",OMO
"Mota Lava, Vanuatu ",MTV
"Mouila, Gabon ",MJL
"Mount Cook, New Zealand ",MON
"Mount Gambier, SA, Australia ",MGB
"Mount Hagen, Papua New Guinea ",HGU
"Mount Hotham, VI, Australia ",MHU
"Mount Isa, Australia ",ISA
"Mount Keith, WA, Australia ",WME
"Mount Magnet, WA, Australia ",MMG
"Mount Pleasant, Falkland Islands ",MPN
"Mountain Home, AR ",WMH
"Mountain Village, AK ",MOU
"Mpacha, Namibia ",MPA
"Mtwara, Tanzania ",MYW
"Mucuri, BA, Brazil ",MVS
"Mudanjiang, China ",MDG
"Mudgee, Australia ",DGE
"Muenster, Germany ",FMO
"Mukan, Malaysia ",MKM
"Mulhouse, France ",MLH
"Mulia, Indonesia ",LII
"Multan, Pakistan ",MUX
"Mulu, Malaysia ",MZV
"Mumbai, India ",BOM
"Munda, Solomon Islands ",MUA
"Munich, Germany ",MUC
"Murcia, Spain ",MJV
"Murmansk, Russia ",MMK
"Murray Island, QL, Australia ",MYI
"Mus, Turkey ",MSR
"Muscat, Oman ",MCT
"Muscle Shoals, AL ",MSL
"Muskegon, MI ",MKG
"Muskrat Dam, ON ",MSA
"Musoma, Tanzania ",MUZ
"Muzaffarabad, Pakistan ",MFG
"Mwanza, Tanzania ",MWZ
"Myeik, Myanmar ",MGZ
"Myitkyina, Myanmar ",MYT
"Myrtle Beach, SC ",MYR
"Mytilene, Greece ",MJT
"Mzuzu, Malawi ",ZZU
"Nabire, Indonesia ",NBX
"Nacala, Mozambique ",MNC
"Nadar, Morocco ",NDR
"Nadi, Fiji ",NAN
"Nadym, Russia ",NYM
"Naga, Philippines ",WNP
"Nagasaki, Japan ",NGS
"Nagoya, Japan - Chubu CentrAir Intl ",NGO
"Nagoya, Japan - Nagoya Komaki APT ",NGO
"Nagpur, India ",NAG
"Nain, NL ",YDP
"Nairobi, Kenya - Jomo Kenyatta Intl ",NBO
"Nairobi, Kenya - Wilson ",WIL
"Nakhichevan, Azerbaijan ",NAJ
"Nakhon Ratchosima, Thailand ",NAK
"Nakhon Si Thammarat, Thailand ",NST
"Nakina, ON ",YQN
"Nalchik, Russia ",NAL
"Namangan, Uzbekistan ",NMA
"Namatana, Papua New Guinea ",ATN
"Namorik Island, Marshall Islands ",NDK
"Nampula, Mozambique ",APL
"Namsos, Norway ",OSY
"Namudi, Papua New Guinea ",NDI
"Nan, Thailand ",NNT
"Nanaimo, BC - Cassidy Airport ",YCD
"Nanaimo, BC - Harbour Airport ",ZNA
"Nanchong, China ",NAO
"Nanisivik, NU ",YSR
"Nanking/Nanjing, China ",NKG
"Nanning, China ",NNG
"Nanortalik, Greenland ",JNN
"Nantes, France - Nantes Atlantique ",NTE
"Nantes, France - Rail service ",QJZ
"Nantong, China ",NTG
"Nantucket, MA ",ACK
"Nanyang, China ",NNY
"Nanyuki, Kenya ",NYK
"Napakiak, AK ",WNA
"Napanee, ON - Rail service ",XIF
"Napaskiak, AK ",PKA
"Napier-Hastings, New Zealand ",NPE
"Naples, FL ",APF
"Naples, Italy ",NAP
"Narathiwat, Thailand ",NAW
"Narrabri, NS, Australia ",NAA
"Narsaq, Greenland ",JNS
"Narsarsuaq, Greenland ",UAK
"Narvik, Norway ",NVK
"Naryan-Mar, Russia ",NNM
"Nashville, TN ",BNA
"Nassau, Bahamas - Paradise Island ",NAS
"Natadi, Congo ",MAT
"Natal, RN, Brazil ",NAT
"Natashquan, QC ",YNA
"Naukiti, AK ",NKI
"Nauru Island, Nauru ",INU
"Navegantes, SC, Brazil ",NVT
"Nawabshah, Pakistan ",WNS
"NayUrengoy, Russia ",NUX
"Ndjamena, Chad ",NDJ
"Ndola, Zambia ",NLA
"Neerlerit Inaat, Greenland ",CNP
"Nefteyugansk, Russia ",NFG
"Neghelli, Ethiopia ",EGL
"Negril, Jamaica ",NEG
"Neiva, Colombia ",NVA
"Nejran, Saudi Arabia ",EAM
"Nelso, New Zealand ",NSN
"Nelson Lagoon, AK ",NLG
"Nelspruit, South Africa ",NLP
"Nema, Mauritania ",EMN
"Nemiscau, QC ",YNS
"Neryjungri, Russia ",NER
"Neuquen, NE, Argentina ",NQN
"Nevis, St. Kitts and Nevis ",NEV
"New Carlisle, QC - Rail service ",XEL
"New Chenega, AK ",NCN
"New Haven, CT ",HVN
"New Koliganek, AK ",KGK
New London/Groton ,GON
New London/Groton ,GON
"New Orleans, LA ",MSY
"New Plymouth, New Zealand ",NPL
"New Richmond, QC - Rail service ",XEM
"New Stuyahok, AK ",KNW
"New York, NY - All airports ",NYC
"New York, NY - Kennedy ",JFK
"New York, NY - La Guardia ",LGA
"Newark, NJ ",EWR
"Newburgh/Stewart Field, NY ",SWF
"Newcastle, New South Wales, Australia ",NTL
"Newcastle, New South Wales, Australia - Belmont ",BEO
"Newcastle, United Kingdom ",NCL
"Newman, WA, Australia ",ZNE
"Newport News, VA ",PHF
"Newquay, United Kingdom ",NQY
"Newtok, AK ",WWT
"Ngaoundere, Cameroon ",NGE
"Ngau Island, Fiji ",NGI
"Ngukurr, NT, Australia ",RPM
"Nha Trang, Viet Nam ",NHA
"Niagara Falls, ON - Rail service ",XLV
"Niamey, Niger ",NIM
"Nice, France ",NCE
"Nicosia, Cyprus ",NIC
"Nightmute, AK ",NME
"Nikolai, AK ",NIB
"Nikolski, AK ",IKO
"Nimes, France ",FNI
"Ningbo, China ",NGB
"Nioko, Congo ",NIX
"Niuafo'ou, Tonga ",NFO
"Niuatoputapu, Tonga ",NTT
"Niue Island, Niue ",IUE
"Nizhnevartovsk, Russia ",NJC
"Nizhniy Novgorod, Russia ",GOJ
"Noatak, AK ",WTK
"Nojabrxsk, Russia ",NOJ
"Nome, AK ",OME
"Nondalton, AK ",NNL
"Noorvik, AK ",ORV
"Noranda/Rouyn, QC ",YUY
"Norderney, Germany ",NRD
"Nordholz-Speika, Germany ",NDZ
"Norfolk Island, Norfolk Island ",NLK
"Norfolk, NE ",OFK
"Norfolk, VA ",ORF
"Noril'sk, Russia ",NSK
"Norman Wells, NT ",YVQ
"Normanton, QL, Australia ",NTN
"Norrkoping, Sweden ",NRK
"Norsup, Vanuatu ",NUS
"North Bay, ON ",YYB
"North Bend, OR ",OTH
"North Caicos, Turks and Caicos Islands ",NCA
"North Eleuthera, Bahamas ",ELH
"North Platte, NE ",LBF
"North Ronaldsay, United Kingdom ",NRL
"North Spirit Lake, ON ",YNO
"Northway, AK ",ORT
"Norway House, MB ",YNE
"Norwich, United Kingdom ",NWI
"Nosara Beach, Costa Rica ",NOB
"Nossi-be, Madagascar ",NOS
"Nottingham, United Kingdom ",EMA
"Nouadhiba, Mauritania ",NDB
"Nouakchott, Mauritania ",NKC
"Noumea, New Caledonia - Magenta ",GEA
"Noumea, New Caledonia - Tontouta ",NOU
"Novgorod, Russia ",NVR
"Novokuznetsk, Russia ",NOZ
"Novosibirsk, Russia - Tolmachevo ",OVB
"Nueva Gerona, Cuba ",GER
"Nuevo Laredo, Mexico ",NLD
"Nuiqsut, AK ",NUI
"Nuku Hiva, French Polynesia ",NHV
"Nuku'Alofa, Tonga ",TBU
"Nukus, Uzbekistan ",NCU
"Nulato, AK ",NUL
"Numbulwar, NT, Australia ",NUB
"Nunapitchuk, AK ",NUP
"Nunukan, Indonesia ",NNX
"Nuremberg, Germany ",NUE
"Nuremberg, Germany - Rail service ",ZAQ
"Nuuk, Greenland ",GOH
"Nyala, Sudan ",UYL
"Nyaung, Myanmar ",NYU
"Nyngan, NS, Australia ",NYN
"Oakland, CA ",OAK
"Oaxaca, Mexico ",OAX
"Obano, Indonesia ",OBD
"Obihiro, Japan ",OBO
"Ocho Rios, Jamaica ",OCJ
"Odense, Denmark ",ZBQ
"Odessa, Ukraine ",ODS
"Odessa/Midland, TX ",MAF
"Ogdensburg, NY ",OGS
"Ogoki, ON ",YOG
"Ohrid, Macedonia ",OHD
"Oita, Japan ",OIT
"Okaba, Indonedia ",OKQ
"Okayama, Japan ",OKJ
"Okhotsk, Russia ",OHO
"Okinawa, Japan ",OKA
"Oklahoma City, OK ",OKC
"Okoshiri, Japan ",OIR
"Oksibil, Indonesia ",OKL
"Olbia, Italy ",OLB
"Old Crow, YT ",YOC
"Olpoi, Vanuatu ",OLJ
"Olympic Dam, SA, Australia ",OLP
"Omaha, NE ",OMA
"Omboue, Gabon ",OMB
"Omsk, Russia ",OMS
"Ondangwa, Namibia ",OND
"Ontario, CA ",ONT
"Opapamiska Lake, ON ",YBS
"Oradea, Romania ",OMR
"Oran, Algeria ",ORN
"Orange County, CA ",SNA
"Orange, New South Wales, Australia ",OAG
"Oranjemund, Namibia ",OMD
"Orebro, Sweeden - Obrebro-Bofors ",ORB
"Orenburg, Russia ",REN
"Orlando, FL - Herndon ",ORL
"Orlando, FL - International ",MCO
"Ormara, Pakistan ",ORW
"Ornskoldsvik, Sweden ",OER
"Orsk, Russia ",OSW
"Orsta-Volda, Norway ",HOV
"Osaka, Japan - all airports ",OSA
"Osaka, Japan - Itami ",ITM
"Osaka, Japan - Kansai Intl ",KIX
"Oshawa, ON ",YOO
"Oshima, Japan ",OIM
"Oshkosh, WI ",OSH
"Osijek, Croatia ",OSI
"Oskarshamn, Sweden ",OSK
"Oslo, Norway ",OSL
"Ostersund, Sweden ",OSD
"Ostrava, Czech Republic ",OSR
"Ottawa, ON - International ",YOW
"Ottawa, ON - Rail service ",XDS
"Ottumwa, IA ",OTM
"Otu, Colombia ",OTU
"Ouagadougou, Burkina Faso ",OUA
"Ouargla, Algeria ",OGX
"Ouarzazate, Morocco ",OZZ
"Oudomxay, Laos ",ODY
"Oujda, Morocco ",OUD
"Oulu, Finland ",OUL
"Ouvea, New Caledonia ",UVE
"Ovda, Israel ",VDA
"Owensboro, KY ",OWB
"Oxford House, MB ",YOH
"Oxnard/Ventura, CA ",OXR
"Oyem, Gabon ",OYE
"Paama, Vanuatu ",PBJ
"Paamiut, Greenland ",JFR
